hour,minute,departureDay,distance,arrivaltime
20,0,3,1121,11
20,1,3,1121,10
20,1,3,1091,10
20,1,3,1090,10
20,1,3,1105,10
20,1,3,1110,10
20,1,3,1126,10
20,1,3,1114,10
20,1,3,1103,10
20,2,3,1100,9
20,2,3,1090,9
20,2,3,1080,9
20,2,3,1078,9
20,2,3,1076,9
20,3,3,1076,8
20,3,3,1062,8
20,3,3,1042,8
20,3,3,1001,8
20,4,3,1001,7
20,4,3,999,7
20,4,3,895,7
20,4,3,792,7
20,5,3,792,6
20,5,3,785,6
20,6,3,785,5
20,6,3,785,5
20,7,3,785,4
20,7,3,503,4
20,7,3,503,4
20,7,3,572,4
20,7,3,534,4
20,7,3,399,4
20,7,3,376,4
20,8,3,376,3
20,8,3,315,3
20,8,3,297,3
20,8,3,256,3
20,9,3,194,2
20,9,3,169,2
20,9,3,126,2
20,10,3,126,1
20,10,3,107,1
20,10,3,91,1
20,10,3,48,1
20,10,3,11,1
20,11,3,11,0
20,11,3,115,0
20,11,3,221,0
21,0,3,1106,11
21,1,3,1106,10
21,1,3,1089,10
21,1,3,1093,10
21,1,3,1119,10
21,1,3,1123,10
21,2,3,1123,9
21,2,3,1105,9
21,2,3,1097,9
21,2,3,1091,9
21,3,3,1091,8
21,3,3,1076,8
21,3,3,1075,8
21,3,3,1069,8
21,3,3,1061,8
21,3,3,1043,8
21,3,3,1039,8
21,3,3,1000,8
21,4,3,1000,7
21,4,3,998,7
21,4,3,897,7
21,4,3,845,7
21,4,3,796,7
21,5,3,796,6
21,5,3,793,6
21,5,3,690,6
21,6,3,690,5
21,6,3,589,5
21,6,3,579,5
21,6,3,570,5
21,6,3,538,5
21,6,3,533,5
21,7,3,533,4
21,7,3,486,4
21,8,3,486,3
21,8,3,386,3
21,8,3,375,3
21,8,3,316,3
21,8,3,286,3
21,9,3,284,2
21,9,3,255,2
21,9,3,182,2
21,9,3,169,2
21,10,3,169,1
21,10,3,132,1
21,10,3,107,1
21,10,3,80,1
21,10,3,48,1
21,11,3,48,0
21,11,3,6,0
21,11,3,24,0
8,4,4,1050,23
8,4,4,1050,23
8,18,4,905,9
8,18,4,905,9
8,18,4,1061,9
8,18,4,1060,9
8,18,4,1042,9
8,18,4,1000,9
8,18,4,880,9
8,19,4,880,8
8,19,4,845,8
8,19,4,804,8
8,26,4,165,1
8,26,4,116,1
8,26,4,82,1
8,26,4,49,1
8,27,4,49,0
8,27,4,3,0
8,27,4,19,0
9,12,4,1107,17
9,13,4,1107,16
9,14,4,1107,15
9,15,4,1107,14
9,16,4,1107,13
9,16,4,1106,13
9,16,4,1091,13
9,16,4,1092,13
9,16,4,1115,13
9,17,4,1115,12
9,17,4,1121,12
9,17,4,1124,12
9,17,4,1122,12
9,17,4,1105,12
9,17,4,1104,12
9,17,4,1102,12
9,18,4,1102,11
9,18,4,1090,11
9,18,4,1081,11
9,18,4,1081,11
9,18,4,1076,11
9,18,4,1063,11
9,19,4,1063,10
9,19,4,1047,10
9,19,4,1044,10
9,19,4,1027,10
9,19,4,1000,10
9,20,4,1000,9
9,20,4,953,9
9,20,4,943,9
9,20,4,852,9
9,20,4,842,9
9,20,4,785,9
9,21,4,785,8
9,22,4,785,7
9,22,4,765,7
9,22,4,752,7
9,22,4,650,7
9,22,4,638,7
9,23,4,548,6
9,23,4,572,6
9,23,4,534,6
9,23,4,534,6
9,24,4,534,5
9,24,4,488,5
9,24,4,446,5
9,24,4,416,5
9,25,4,416,4
9,25,4,344,4
9,25,4,314,4
9,26,4,314,3
9,26,4,277,3
9,26,4,254,3
9,26,4,243,3
9,27,4,243,2
9,27,4,241,2
9,28,4,169,1
9,28,4,142,1
9,28,4,108,1
9,28,4,47,1
9,28,4,36,1
9,28,4,4,1
9,29,4,4,0
9,29,4,45,0
10,0,4,1119,18
10,1,4,1119,17
10,2,4,1119,16
10,2,4,1119,16
10,3,4,1119,15
10,3,4,1119,15
10,3,4,1111,15
10,3,4,1099,15
10,4,4,1099,14
10,4,4,1092,14
10,4,4,1090,14
10,4,4,1086,14
10,4,4,1085,14
10,4,4,1082,14
10,5,4,1082,13
10,5,4,1073,13
10,5,4,1047,13
10,5,4,1044,13
10,5,4,1041,13
10,5,4,1041,13
10,5,4,1103,13
10,5,4,1102,13
10,5,4,1092,13
10,5,4,999,13
10,5,4,1063,13
10,5,4,1044,13
10,5,4,1044,13
10,6,4,1044,12
10,6,4,999,12
10,6,4,940,12
10,6,4,898,12
10,6,4,842,12
10,6,4,803,12
10,7,4,803,11
10,7,4,797,11
10,7,4,694,11
10,8,4,694,10
10,8,4,588,10
10,8,4,579,10
10,8,4,570,10
10,8,4,526,10
10,9,4,525,9
10,9,4,518,9
10,9,4,484,9
10,10,4,484,8
10,10,4,382,8
10,10,4,317,8
10,10,4,312,8
10,10,4,311,8
10,10,4,306,8
10,11,4,306,7
10,11,4,297,7
10,11,4,281,7
10,11,4,279,7
10,11,4,277,7
10,12,4,277,6
10,12,4,263,6
10,12,4,253,6
11,0,4,1116,18
11,1,4,1116,17
11,1,4,1090,17
11,1,4,1089,17
11,1,4,1094,17
11,1,4,1113,17
11,1,4,1119,17
11,2,4,1119,16
11,3,4,1119,15
11,4,4,1119,14
11,5,4,1119,13
11,6,4,1119,12
11,7,4,1119,11
11,8,4,1119,10
11,8,4,1102,10
11,9,4,1102,9
11,9,4,1102,9
11,10,4,391,8
11,10,4,1083,8
11,10,4,1075,8
11,10,4,1072,8
11,10,4,1060,8
11,10,4,1053,8
11,10,4,1041,8
11,10,4,1010,8
11,10,4,998,8
11,10,4,940,8
11,11,4,843,7
11,11,4,782,7
11,11,4,571,7
11,11,4,530,7
11,11,4,490,7
11,11,4,391,7
11,11,4,345,7
11,12,4,345,6
11,13,4,345,5
11,13,4,345,5
11,13,4,314,5
11,13,4,295,5
11,14,4,295,4
11,14,4,263,4
11,14,4,259,4
11,14,4,243,4
11,15,4,243,3
11,15,4,204,3
11,15,4,164,3
11,15,4,140,3
11,15,4,131,3
11,16,4,131,2
11,16,4,118,2
11,16,4,74,2
11,16,4,45,2
11,16,4,35,2
11,16,4,4,2
11,17,4,4,1
11,18,4,4,0
13,1,4,1104,0
13,2,4,1104,16
13,2,4,1103,16
13,2,4,1104,16
13,3,4,1104,15
13,3,4,1093,15
13,3,4,1094,15
13,3,4,1118,15
13,3,4,1121,15
13,4,4,1119,14
13,4,4,1115,14
13,4,4,1113,14
13,4,4,1112,14
13,4,4,1104,14
13,4,4,1102,14
13,4,4,1099,14
13,5,4,1099,13
13,5,4,1088,13
13,5,4,1074,13
13,5,4,1072,13
13,5,4,1066,13
13,5,4,1062,13
13,5,4,1060,13
13,6,4,1060,12
13,6,4,1057,12
