hour,minute,departureDay,distance,arrivaltime
20.0,1.0,3.0,1091.0,10
20.0,1.0,3.0,1090.0,10
20.0,1.0,3.0,1105.0,10
20.0,1.0,3.0,1110.0,10
20.0,1.0,3.0,1126.0,10
20.0,1.0,3.0,1114.0,10
20.0,1.0,3.0,1103.0,10
20.0,2.0,3.0,1100.0,9
20.0,2.0,3.0,1090.0,9
20.0,2.0,3.0,1080.0,9
20.0,2.0,3.0,1078.0,9
20.0,2.0,3.0,1076.0,9
20.0,3.0,3.0,1076.0,8
20.0,3.0,3.0,1062.0,8
20.0,3.0,3.0,1042.0,8
20.0,3.0,3.0,1001.0,8
20.0,4.0,3.0,1001.0,7
20.0,4.0,3.0,999.0,7
20.0,4.0,3.0,895.0,7
20.0,4.0,3.0,792.0,7
20.0,5.0,3.0,792.0,6
20.0,5.0,3.0,785.0,6
20.0,6.0,3.0,785.0,5
20.0,6.0,3.0,785.0,5
20.0,7.0,3.0,785.0,4
20.0,7.0,3.0,503.0,4
20.0,7.0,3.0,503.0,4
20.0,7.0,3.0,572.0,4
20.0,7.0,3.0,534.0,4
20.0,7.0,3.0,399.0,4
20.0,7.0,3.0,376.0,4
20.0,8.0,3.0,376.0,3
20.0,8.0,3.0,315.0,3
20.0,8.0,3.0,297.0,3
20.0,8.0,3.0,256.0,3
20.0,9.0,3.0,194.0,2
20.0,9.0,3.0,169.0,2
20.0,9.0,3.0,126.0,2
20.0,10.0,3.0,126.0,1
20.0,10.0,3.0,107.0,1
20.0,10.0,3.0,91.0,1
20.0,10.0,3.0,48.0,1
20.0,10.0,3.0,11.0,1
20.0,11.0,3.0,11.0,0
20.0,11.0,3.0,115.0,0
20.0,11.0,3.0,221.0,0
21.0,0.0,3.0,1106.0,11
21.0,1.0,3.0,1106.0,10
21.0,1.0,3.0,1089.0,10
21.0,1.0,3.0,1093.0,10
21.0,1.0,3.0,1119.0,10
21.0,1.0,3.0,1123.0,10
21.0,2.0,3.0,1123.0,9
21.0,2.0,3.0,1105.0,9
21.0,2.0,3.0,1097.0,9
21.0,2.0,3.0,1091.0,9
21.0,3.0,3.0,1091.0,8
21.0,3.0,3.0,1076.0,8
21.0,3.0,3.0,1075.0,8
21.0,3.0,3.0,1069.0,8
21.0,3.0,3.0,1061.0,8
21.0,3.0,3.0,1043.0,8
21.0,3.0,3.0,1039.0,8
21.0,3.0,3.0,1000.0,8
21.0,4.0,3.0,1000.0,7
21.0,4.0,3.0,998.0,7
21.0,4.0,3.0,897.0,7
21.0,4.0,3.0,845.0,7
21.0,4.0,3.0,796.0,7
21.0,5.0,3.0,796.0,6
21.0,5.0,3.0,793.0,6
21.0,5.0,3.0,690.0,6
21.0,6.0,3.0,690.0,5
21.0,6.0,3.0,589.0,5
21.0,6.0,3.0,579.0,5
21.0,6.0,3.0,570.0,5
21.0,6.0,3.0,538.0,5
21.0,6.0,3.0,533.0,5
21.0,7.0,3.0,533.0,4
21.0,7.0,3.0,486.0,4
21.0,8.0,3.0,486.0,3
21.0,8.0,3.0,386.0,3
21.0,8.0,3.0,375.0,3
21.0,8.0,3.0,316.0,3
21.0,8.0,3.0,286.0,3
21.0,9.0,3.0,284.0,2
21.0,9.0,3.0,255.0,2
21.0,9.0,3.0,182.0,2
21.0,9.0,3.0,169.0,2
21.0,10.0,3.0,169.0,1
21.0,10.0,3.0,132.0,1
21.0,10.0,3.0,107.0,1
21.0,10.0,3.0,80.0,1
21.0,10.0,3.0,48.0,1
21.0,11.0,3.0,48.0,0
21.0,11.0,3.0,6.0,0
21.0,11.0,3.0,24.0,0
8.0,4.0,4.0,1050.0,23
8.0,4.0,4.0,1050.0,23
8.0,18.0,4.0,905.0,9
8.0,18.0,4.0,905.0,9
8.0,18.0,4.0,1061.0,9
8.0,18.0,4.0,1060.0,9
8.0,18.0,4.0,1042.0,9
8.0,18.0,4.0,1000.0,9
8.0,18.0,4.0,880.0,9
8.0,19.0,4.0,880.0,8
8.0,19.0,4.0,845.0,8
8.0,19.0,4.0,804.0,8
9.0,12.0,4.0,1107.0,17
9.0,13.0,4.0,1107.0,16
9.0,14.0,4.0,1107.0,15
9.0,15.0,4.0,1107.0,14
9.0,16.0,4.0,1107.0,13
9.0,16.0,4.0,1106.0,13
9.0,16.0,4.0,1091.0,13
9.0,16.0,4.0,1092.0,13
9.0,16.0,4.0,1115.0,13
9.0,17.0,4.0,1115.0,12
9.0,17.0,4.0,1121.0,12
9.0,17.0,4.0,1124.0,12
9.0,17.0,4.0,1122.0,12
9.0,17.0,4.0,1105.0,12
9.0,17.0,4.0,1104.0,12
9.0,17.0,4.0,1102.0,12
9.0,18.0,4.0,1102.0,11
9.0,18.0,4.0,1090.0,11
9.0,18.0,4.0,1081.0,11
9.0,18.0,4.0,1081.0,11
9.0,18.0,4.0,1076.0,11
9.0,18.0,4.0,1063.0,11
9.0,19.0,4.0,1063.0,10
9.0,19.0,4.0,1047.0,10
9.0,19.0,4.0,1044.0,10
9.0,19.0,4.0,1027.0,10
9.0,19.0,4.0,1000.0,10
9.0,20.0,4.0,1000.0,9
9.0,20.0,4.0,953.0,9
9.0,20.0,4.0,943.0,9
9.0,20.0,4.0,852.0,9
9.0,20.0,4.0,842.0,9
9.0,20.0,4.0,785.0,9
9.0,21.0,4.0,785.0,8
9.0,22.0,4.0,785.0,7
9.0,22.0,4.0,765.0,7
9.0,22.0,4.0,752.0,7
9.0,22.0,4.0,650.0,7
9.0,22.0,4.0,638.0,7
9.0,23.0,4.0,548.0,6
9.0,23.0,4.0,572.0,6
9.0,23.0,4.0,534.0,6
9.0,23.0,4.0,534.0,6
9.0,24.0,4.0,534.0,5
9.0,24.0,4.0,488.0,5
9.0,24.0,4.0,446.0,5
9.0,24.0,4.0,416.0,5
10.0,0.0,4.0,1119.0,18
10.0,1.0,4.0,1119.0,17
10.0,2.0,4.0,1119.0,16
10.0,2.0,4.0,1119.0,16
10.0,3.0,4.0,1119.0,15
10.0,3.0,4.0,1119.0,15
10.0,3.0,4.0,1111.0,15
10.0,3.0,4.0,1099.0,15
10.0,4.0,4.0,1099.0,14
10.0,4.0,4.0,1092.0,14
10.0,4.0,4.0,1090.0,14
10.0,4.0,4.0,1086.0,14
10.0,4.0,4.0,1085.0,14
10.0,4.0,4.0,1082.0,14
10.0,5.0,4.0,1082.0,13
10.0,5.0,4.0,1073.0,13
10.0,5.0,4.0,1047.0,13
10.0,5.0,4.0,1044.0,13
10.0,5.0,4.0,1041.0,13
10.0,5.0,4.0,1041.0,13
10.0,5.0,4.0,1103.0,13
10.0,5.0,4.0,1102.0,13
10.0,5.0,4.0,1092.0,13
10.0,5.0,4.0,999.0,13
10.0,5.0,4.0,1063.0,13
10.0,5.0,4.0,1044.0,13
10.0,5.0,4.0,1044.0,13
10.0,6.0,4.0,1044.0,12
10.0,6.0,4.0,999.0,12
10.0,6.0,4.0,940.0,12
10.0,6.0,4.0,898.0,12
10.0,6.0,4.0,842.0,12
10.0,6.0,4.0,803.0,12
10.0,7.0,4.0,803.0,11
10.0,7.0,4.0,797.0,11
10.0,7.0,4.0,694.0,11
10.0,8.0,4.0,694.0,10
10.0,8.0,4.0,588.0,10
10.0,8.0,4.0,579.0,10
10.0,8.0,4.0,570.0,10
10.0,8.0,4.0,526.0,10
10.0,9.0,4.0,525.0,9
10.0,9.0,4.0,518.0,9
10.0,9.0,4.0,484.0,9
10.0,10.0,4.0,484.0,8
10.0,10.0,4.0,382.0,8
10.0,10.0,4.0,317.0,8
10.0,10.0,4.0,312.0,8
10.0,10.0,4.0,311.0,8
10.0,10.0,4.0,306.0,8
10.0,11.0,4.0,306.0,7
10.0,11.0,4.0,297.0,7
10.0,11.0,4.0,281.0,7
10.0,11.0,4.0,279.0,7
10.0,11.0,4.0,277.0,7
10.0,12.0,4.0,277.0,6
10.0,12.0,4.0,263.0,6
10.0,12.0,4.0,253.0,6
11.0,0.0,4.0,1116.0,18
11.0,1.0,4.0,1116.0,17
11.0,1.0,4.0,1090.0,17
11.0,1.0,4.0,1089.0,17
11.0,1.0,4.0,1094.0,17
11.0,1.0,4.0,1113.0,17
11.0,1.0,4.0,1119.0,17
11.0,2.0,4.0,1119.0,16
11.0,3.0,4.0,1119.0,15
11.0,4.0,4.0,1119.0,14
11.0,5.0,4.0,1119.0,13
11.0,6.0,4.0,1119.0,12
11.0,7.0,4.0,1119.0,11
11.0,8.0,4.0,1119.0,10
11.0,8.0,4.0,1102.0,10
11.0,9.0,4.0,1102.0,9
11.0,9.0,4.0,1102.0,9
11.0,10.0,4.0,391.0,8
11.0,10.0,4.0,1083.0,8
11.0,10.0,4.0,1075.0,8
11.0,10.0,4.0,1072.0,8
