timeStamp,departureDay,distance
19:56:00,Tuesday,1121
19:57:00,Tuesday,1121
19:58:00,Tuesday,1121
19:59:00,Tuesday,1121
20:00:00,Tuesday,1121
20:01:00,Tuesday,1121
20:01:00,Tuesday,1091
20:01:00,Tuesday,1090
20:01:00,Tuesday,1105
20:01:00,Tuesday,1110
20:01:00,Tuesday,1126
20:01:00,Tuesday,1114
20:01:00,Tuesday,1103
20:02:00,Tuesday,1100
20:02:00,Tuesday,1090
20:02:00,Tuesday,1080
20:02:00,Tuesday,1078
20:02:00,Tuesday,1076
20:03:00,Tuesday,1076
20:03:00,Tuesday,1062
20:03:00,Tuesday,1042
20:03:00,Tuesday,1001
20:04:00,Tuesday,1001
20:04:00,Tuesday,999
20:04:00,Tuesday,895
20:04:00,Tuesday,792
20:05:00,Tuesday,792
20:05:00,Tuesday,785
20:06:00,Tuesday,785
20:06:00,Tuesday,785
20:07:00,Tuesday,785
20:07:00,Tuesday,503
20:07:00,Tuesday,503
20:07:00,Tuesday,572
20:07:00,Tuesday,534
20:07:00,Tuesday,399
20:07:00,Tuesday,376
20:08:00,Tuesday,376
20:08:00,Tuesday,315
20:08:00,Tuesday,297
20:08:00,Tuesday,256
20:09:00,Tuesday,194
20:09:00,Tuesday,169
20:09:00,Tuesday,126
20:10:00,Tuesday,126
20:10:00,Tuesday,107
20:10:00,Tuesday,91
20:10:00,Tuesday,48
20:10:00,Tuesday,11
20:11:00,Tuesday,11
20:11:00,Tuesday,115
20:11:00,Tuesday,221
20:56:00,Tuesday,1106
20:57:00,Tuesday,1106
20:58:00,Tuesday,1106
20:59:00,Tuesday,1106
21:00:00,Tuesday,1106
21:01:00,Tuesday,1106
21:01:00,Tuesday,1089
21:01:00,Tuesday,1093
21:01:00,Tuesday,1119
21:01:00,Tuesday,1123
21:02:00,Tuesday,1123
21:02:00,Tuesday,1105
21:02:00,Tuesday,1097
21:02:00,Tuesday,1091
21:03:00,Tuesday,1091
21:03:00,Tuesday,1076
21:03:00,Tuesday,1075
21:03:00,Tuesday,1069
21:03:00,Tuesday,1061
21:03:00,Tuesday,1043
21:03:00,Tuesday,1039
21:03:00,Tuesday,1000
21:04:00,Tuesday,1000
21:04:00,Tuesday,998
21:04:00,Tuesday,897
21:04:00,Tuesday,845
21:04:00,Tuesday,796
21:05:00,Tuesday,796
21:05:00,Tuesday,793
21:05:00,Tuesday,690
21:06:00,Tuesday,690
21:06:00,Tuesday,589
21:06:00,Tuesday,579
21:06:00,Tuesday,570
21:06:00,Tuesday,538
21:06:00,Tuesday,533
21:07:00,Tuesday,533
21:07:00,Tuesday,486
21:08:00,Tuesday,486
21:08:00,Tuesday,386
21:08:00,Tuesday,375
21:08:00,Tuesday,316
21:08:00,Tuesday,286
21:09:00,Tuesday,284
21:09:00,Tuesday,255
21:09:00,Tuesday,182
21:09:00,Tuesday,169
21:10:00,Tuesday,169
21:10:00,Tuesday,132
21:10:00,Tuesday,107
21:10:00,Tuesday,80
21:10:00,Tuesday,48
21:11:00,Tuesday,48
21:11:00,Tuesday,6
21:11:00,Tuesday,24
21:12:00,Tuesday,24
21:12:00,Tuesday,127
21:12:00,Tuesday,134
21:12:00,Tuesday,228
07:52:00,Wednesday,1050
07:53:00,Wednesday,1050
07:54:00,Wednesday,1050
07:55:00,Wednesday,1050
07:56:00,Wednesday,1050
07:56:00,Wednesday,1050
07:57:00,Wednesday,1050
07:57:00,Wednesday,1050
07:58:00,Wednesday,1050
07:58:00,Wednesday,1050
07:59:00,Wednesday,1050
08:00:00,Wednesday,1050
08:01:00,Wednesday,1050
08:02:00,Wednesday,1050
08:02:00,Wednesday,1050
08:03:00,Wednesday,1050
08:03:00,Wednesday,1050
08:04:00,Wednesday,1050
08:04:00,Wednesday,1050
08:18:00,Wednesday,905
08:18:00,Wednesday,905
08:18:00,Wednesday,1061
08:18:00,Wednesday,1060
08:18:00,Wednesday,1042
08:18:00,Wednesday,1000
08:18:00,Wednesday,880
08:19:00,Wednesday,880
08:19:00,Wednesday,845
08:19:00,Wednesday,804
08:26:00,Wednesday,165
08:26:00,Wednesday,116
08:26:00,Wednesday,82
08:26:00,Wednesday,49
08:27:00,Wednesday,49
08:27:00,Wednesday,3
08:27:00,Wednesday,19
08:28:00,Wednesday,19
08:28:00,Wednesday,124
08:28:00,Wednesday,167
09:11:00,Wednesday,1107
09:12:00,Wednesday,1107
09:13:00,Wednesday,1107
09:14:00,Wednesday,1107
09:15:00,Wednesday,1107
09:16:00,Wednesday,1107
09:16:00,Wednesday,1106
09:16:00,Wednesday,1091
09:16:00,Wednesday,1092
09:16:00,Wednesday,1115
09:17:00,Wednesday,1115
09:17:00,Wednesday,1121
09:17:00,Wednesday,1124
09:17:00,Wednesday,1122
09:17:00,Wednesday,1105
09:17:00,Wednesday,1104
09:17:00,Wednesday,1102
09:18:00,Wednesday,1102
09:18:00,Wednesday,1090
09:18:00,Wednesday,1081
09:18:00,Wednesday,1081
09:18:00,Wednesday,1076
09:18:00,Wednesday,1063
09:19:00,Wednesday,1063
09:19:00,Wednesday,1047
09:19:00,Wednesday,1044
09:19:00,Wednesday,1027
09:19:00,Wednesday,1000
09:20:00,Wednesday,1000
09:20:00,Wednesday,953
09:20:00,Wednesday,943
09:20:00,Wednesday,852
09:20:00,Wednesday,842
09:20:00,Wednesday,785
09:21:00,Wednesday,785
09:22:00,Wednesday,785
09:22:00,Wednesday,765
09:22:00,Wednesday,752
09:22:00,Wednesday,650
09:22:00,Wednesday,638
09:23:00,Wednesday,548
09:23:00,Wednesday,572
09:23:00,Wednesday,534
09:23:00,Wednesday,534
09:24:00,Wednesday,534
09:24:00,Wednesday,488
09:24:00,Wednesday,446
09:24:00,Wednesday,416
09:25:00,Wednesday,416
09:25:00,Wednesday,344
09:25:00,Wednesday,314
09:26:00,Wednesday,314
09:26:00,Wednesday,277
09:26:00,Wednesday,254
09:26:00,Wednesday,243
09:27:00,Wednesday,243
09:27:00,Wednesday,241
09:28:00,Wednesday,169
09:28:00,Wednesday,142
09:28:00,Wednesday,108
09:28:00,Wednesday,47
09:28:00,Wednesday,36
09:28:00,Wednesday,4
09:29:00,Wednesday,4
09:29:00,Wednesday,45
09:30:00,Wednesday,67
09:30:00,Wednesday,169
09:56:00,Wednesday,1119
09:57:00,Wednesday,1119
09:58:00,Wednesday,1119
09:59:00,Wednesday,1119
10:00:00,Wednesday,1119
10:01:00,Wednesday,1119
10:02:00,Wednesday,1119
10:02:00,Wednesday,1119
10:03:00,Wednesday,1119
10:03:00,Wednesday,1119
10:03:00,Wednesday,1111
10:03:00,Wednesday,1099
10:04:00,Wednesday,1099
10:04:00,Wednesday,1092
10:04:00,Wednesday,1090
10:04:00,Wednesday,1086
10:04:00,Wednesday,1085
10:04:00,Wednesday,1082
10:05:00,Wednesday,1082
10:05:00,Wednesday,1073
10:05:00,Wednesday,1047
10:05:00,Wednesday,1044
10:05:00,Wednesday,1041
10:05:00,Wednesday,1041
10:05:00,Wednesday,1103
10:05:00,Wednesday,1102
10:05:00,Wednesday,1092
10:05:00,Wednesday,999
10:05:00,Wednesday,1063
10:05:00,Wednesday,1044
10:05:00,Wednesday,1044
10:06:00,Wednesday,1044
10:06:00,Wednesday,999
10:06:00,Wednesday,940
10:06:00,Wednesday,898
10:06:00,Wednesday,842
10:06:00,Wednesday,803
10:07:00,Wednesday,803
10:07:00,Wednesday,797
10:07:00,Wednesday,694
10:08:00,Wednesday,694
10:08:00,Wednesday,588
10:08:00,Wednesday,579
10:08:00,Wednesday,570
10:08:00,Wednesday,526
10:09:00,Wednesday,525
10:09:00,Wednesday,518
10:09:00,Wednesday,484
10:10:00,Wednesday,484
10:10:00,Wednesday,382
10:10:00,Wednesday,317
10:10:00,Wednesday,312
10:10:00,Wednesday,311
10:10:00,Wednesday,306
10:11:00,Wednesday,306
10:11:00,Wednesday,297
10:11:00,Wednesday,281
10:11:00,Wednesday,279
10:11:00,Wednesday,277
10:12:00,Wednesday,277
10:12:00,Wednesday,263
10:12:00,Wednesday,253
10:31:00,Wednesday,8881
10:32:00,Wednesday,8881
10:33:00,Wednesday,8881
10:34:00,Wednesday,8881
10:35:00,Wednesday,8881
10:36:00,Wednesday,8881
10:37:00,Wednesday,8881
10:38:00,Wednesday,8881
10:39:00,Wednesday,8881
10:40:00,Wednesday,8881
10:41:00,Wednesday,8881
10:42:00,Wednesday,8881
10:43:00,Wednesday,8879
10:44:00,Wednesday,8879
10:45:00,Wednesday,8879
10:46:00,Wednesday,8856
10:47:00,Wednesday,8856
10:48:00,Wednesday,8856
10:48:00,Wednesday,8844
10:56:00,Wednesday,1116
10:57:00,Wednesday,1116
10:58:00,Wednesday,1116
10:59:00,Wednesday,1116
11:00:00,Wednesday,1116
11:01:00,Wednesday,1116
11:01:00,Wednesday,1090
11:01:00,Wednesday,1089
11:01:00,Wednesday,1094
11:01:00,Wednesday,1113
11:01:00,Wednesday,1119
11:02:00,Wednesday,1119
11:03:00,Wednesday,1119
11:04:00,Wednesday,1119
11:05:00,Wednesday,1119
11:06:00,Wednesday,1119
11:07:00,Wednesday,1119
11:08:00,Wednesday,1119
11:08:00,Wednesday,1102
11:09:00,Wednesday,1102
11:09:00,Wednesday,1102
11:10:00,Wednesday,391
11:10:00,Wednesday,1083
11:10:00,Wednesday,1075
11:10:00,Wednesday,1072
11:10:00,Wednesday,1060
11:10:00,Wednesday,1053
11:10:00,Wednesday,1041
11:10:00,Wednesday,1010
11:10:00,Wednesday,998
11:10:00,Wednesday,940
11:11:00,Wednesday,843
11:11:00,Wednesday,782
11:11:00,Wednesday,571
11:11:00,Wednesday,530
11:11:00,Wednesday,490
11:11:00,Wednesday,391
11:11:00,Wednesday,345
11:12:00,Wednesday,345
11:13:00,Wednesday,345
11:13:00,Wednesday,345
11:13:00,Wednesday,314
11:13:00,Wednesday,295
11:14:00,Wednesday,295
11:14:00,Wednesday,263
11:14:00,Wednesday,259
11:14:00,Wednesday,243
11:15:00,Wednesday,243
11:15:00,Wednesday,204
11:15:00,Wednesday,164
11:15:00,Wednesday,140
11:15:00,Wednesday,131
11:16:00,Wednesday,131
11:16:00,Wednesday,118
11:16:00,Wednesday,74
11:16:00,Wednesday,45
11:16:00,Wednesday,35
11:16:00,Wednesday,4
11:17:00,Wednesday,4
11:18:00,Wednesday,4
11:19:00,Wednesday,8211
11:19:00,Wednesday,8210
11:19:00,Wednesday,8210
11:20:00,Wednesday,8210
11:20:00,Wednesday,8207
11:20:00,Wednesday,8201
12:01:00,Wednesday,8358
12:01:00,Wednesday,8368
12:01:00,Wednesday,8426
12:02:00,Wednesday,8426
12:02:00,Wednesday,8404
12:02:00,Wednesday,8426
12:02:00,Wednesday,8433
12:02:00,Wednesday,8447
12:02:00,Wednesday,8455
12:02:00,Wednesday,8462
12:02:00,Wednesday,8469
12:02:00,Wednesday,8482
12:02:00,Wednesday,8456
12:02:00,Wednesday,8447
12:03:00,Wednesday,8447
12:03:00,Wednesday,8473
12:03:00,Wednesday,8540
12:03:00,Wednesday,8546
12:03:00,Wednesday,8558
12:03:00,Wednesday,8577
12:04:00,Wednesday,8654
12:04:00,Wednesday,8755
12:05:00,Wednesday,8755
12:05:00,Wednesday,8856
12:05:00,Wednesday,8860
12:05:00,Wednesday,8864
12:05:00,Wednesday,8868
12:05:00,Wednesday,8874
12:06:00,Wednesday,8874
12:06:00,Wednesday,8829
12:07:00,Wednesday,8750
12:08:00,Wednesday,8651
13:01:00,Wednesday,1104
13:02:00,Wednesday,1104
13:02:00,Wednesday,1103
13:02:00,Wednesday,1104
13:03:00,Wednesday,1104
13:03:00,Wednesday,1093
13:03:00,Wednesday,1094
13:03:00,Wednesday,1118
13:03:00,Wednesday,1121
13:04:00,Wednesday,1119
13:04:00,Wednesday,1115
13:04:00,Wednesday,1113
13:04:00,Wednesday,1112
13:04:00,Wednesday,1104
13:04:00,Wednesday,1102
13:04:00,Wednesday,1099
13:05:00,Wednesday,1099
13:05:00,Wednesday,1088
13:05:00,Wednesday,1074
13:05:00,Wednesday,1072
13:05:00,Wednesday,1066
13:05:00,Wednesday,1062
13:05:00,Wednesday,1060
13:06:00,Wednesday,1060
13:06:00,Wednesday,1057
13:06:00,Wednesday,1053
13:06:00,Wednesday,1049
13:06:00,Wednesday,1036
13:07:00,Wednesday,1036
13:07:00,Wednesday,1026
13:07:00,Wednesday,1001
13:07:00,Wednesday,982
13:07:00,Wednesday,957
13:08:00,Wednesday,957
13:08:00,Wednesday,953
13:08:00,Wednesday,881
13:08:00,Wednesday,842
13:08:00,Wednesday,803
13:09:00,Wednesday,803
13:09:00,Wednesday,806
13:09:00,Wednesday,780
13:10:00,Wednesday,780
13:10:00,Wednesday,678
13:11:00,Wednesday,678
13:11:00,Wednesday,647
13:11:00,Wednesday,576
13:11:00,Wednesday,542
13:11:00,Wednesday,541
13:12:00,Wednesday,541
13:12:00,Wednesday,488
13:12:00,Wednesday,473
13:12:00,Wednesday,463
13:13:00,Wednesday,463
13:13:00,Wednesday,372
13:13:00,Wednesday,316
13:14:00,Wednesday,316
13:14:00,Wednesday,274
13:14:00,Wednesday,272
13:14:00,Wednesday,270
13:15:00,Wednesday,270
13:15:00,Wednesday,240
13:15:00,Wednesday,169
13:15:00,Wednesday,146
13:16:00,Wednesday,146
13:16:00,Wednesday,127
13:16:00,Wednesday,125
13:16:00,Wednesday,113
13:17:00,Wednesday,113
13:17:00,Wednesday,114
13:17:00,Wednesday,67
13:17:00,Wednesday,46
13:17:00,Wednesday,13
13:18:00,Wednesday,13
13:19:00,Wednesday,30
13:19:00,Wednesday,46
13:19:00,Wednesday,147
14:01:00,Wednesday,503
14:02:00,Wednesday,503
14:56:00,Wednesday,1104
14:57:00,Wednesday,1104
14:58:00,Wednesday,1104
14:59:00,Wednesday,1104
15:00:00,Wednesday,1104
15:01:00,Wednesday,1104
15:01:00,Wednesday,1092
15:01:00,Wednesday,1092
15:02:00,Wednesday,1092
15:02:00,Wednesday,1121
15:03:00,Wednesday,1121
15:03:00,Wednesday,1104
15:03:00,Wednesday,1101
15:03:00,Wednesday,1090
15:04:00,Wednesday,1090
15:04:00,Wednesday,1081
15:04:00,Wednesday,1075
15:04:00,Wednesday,1074
15:05:00,Wednesday,1074
15:05:00,Wednesday,1059
15:05:00,Wednesday,1044
15:06:00,Wednesday,1044
15:06:00,Wednesday,1043
15:06:00,Wednesday,1016
15:06:00,Wednesday,1003
15:06:00,Wednesday,999
15:06:00,Wednesday,953
15:07:00,Wednesday,953
15:07:00,Wednesday,903
15:08:00,Wednesday,903
15:08:00,Wednesday,843
15:08:00,Wednesday,802
15:08:00,Wednesday,783
15:08:00,Wednesday,698
15:09:00,Wednesday,698
15:09:00,Wednesday,597
15:09:00,Wednesday,582
15:09:00,Wednesday,555
15:10:00,Wednesday,555
15:10:00,Wednesday,530
15:11:00,Wednesday,530
15:11:00,Wednesday,505
15:12:00,Wednesday,505
15:12:00,Wednesday,494
15:12:00,Wednesday,486
15:12:00,Wednesday,434
15:12:00,Wednesday,389
15:12:00,Wednesday,315
15:13:00,Wednesday,315
15:13:00,Wednesday,288
15:13:00,Wednesday,283
15:14:00,Wednesday,283
15:14:00,Wednesday,280
15:15:00,Wednesday,280
15:15:00,Wednesday,242
15:16:00,Wednesday,242
15:16:00,Wednesday,207
15:16:00,Wednesday,187
15:16:00,Wednesday,166
15:16:00,Wednesday,125
15:17:00,Wednesday,125
15:17:00,Wednesday,110
15:17:00,Wednesday,108
15:17:00,Wednesday,97
15:17:00,Wednesday,84
15:17:00,Wednesday,50
15:18:00,Wednesday,50
15:18:00,Wednesday,17
15:18:00,Wednesday,10
15:18:00,Wednesday,17
15:19:00,Wednesday,17
15:19:00,Wednesday,119
15:19:00,Wednesday,146
15:56:00,Wednesday,1113
15:57:00,Wednesday,1113
15:58:00,Wednesday,1113
15:59:00,Wednesday,1113
16:00:00,Wednesday,1113
16:01:00,Wednesday,1113
16:01:00,Wednesday,1121
16:01:00,Wednesday,1125
16:02:00,Wednesday,1125
16:02:00,Wednesday,1093
16:03:00,Wednesday,1093
16:04:00,Wednesday,1093
16:04:00,Wednesday,1103
16:04:00,Wednesday,1102
16:04:00,Wednesday,1066
16:04:00,Wednesday,1066
16:05:00,Wednesday,1066
16:05:00,Wednesday,1088
16:05:00,Wednesday,1032
16:06:00,Wednesday,1032
16:06:00,Wednesday,1032
16:06:00,Wednesday,992
16:06:00,Wednesday,1050
16:06:00,Wednesday,1044
16:06:00,Wednesday,890
16:07:00,Wednesday,890
16:07:00,Wednesday,789
