timeStamp,departureDay,distance
19:56:00,3,1121
19:57:00,3,1121
19:58:00,3,1121
19:59:00,3,1121
20:00:00,3,1121
20:01:00,3,1121
20:01:00,3,1091
20:01:00,3,1090
20:01:00,3,1105
20:01:00,3,1110
20:01:00,3,1126
20:01:00,3,1114
20:01:00,3,1103
20:02:00,3,1100
20:02:00,3,1090
20:02:00,3,1080
20:02:00,3,1078
20:02:00,3,1076
20:03:00,3,1076
20:03:00,3,1062
20:03:00,3,1042
20:03:00,3,1001
20:04:00,3,1001
20:04:00,3,999
20:04:00,3,895
20:04:00,3,792
20:05:00,3,792
20:05:00,3,785
20:06:00,3,785
20:06:00,3,785
20:07:00,3,785
20:07:00,3,503
20:07:00,3,503
20:07:00,3,572
20:07:00,3,534
20:07:00,3,399
20:07:00,3,376
20:08:00,3,376
20:08:00,3,315
20:08:00,3,297
20:08:00,3,256
20:09:00,3,194
20:09:00,3,169
20:09:00,3,126
20:10:00,3,126
20:10:00,3,107
20:10:00,3,91
20:10:00,3,48
20:10:00,3,11
20:11:00,3,11
20:11:00,3,115
20:11:00,3,221
20:56:00,3,1106
20:57:00,3,1106
20:58:00,3,1106
20:59:00,3,1106
21:00:00,3,1106
21:01:00,3,1106
21:01:00,3,1089
21:01:00,3,1093
21:01:00,3,1119
21:01:00,3,1123
21:02:00,3,1123
21:02:00,3,1105
21:02:00,3,1097
21:02:00,3,1091
21:03:00,3,1091
21:03:00,3,1076
21:03:00,3,1075
21:03:00,3,1069
21:03:00,3,1061
21:03:00,3,1043
21:03:00,3,1039
21:03:00,3,1000
21:04:00,3,1000
21:04:00,3,998
21:04:00,3,897
21:04:00,3,845
21:04:00,3,796
21:05:00,3,796
21:05:00,3,793
21:05:00,3,690
21:06:00,3,690
21:06:00,3,589
21:06:00,3,579
21:06:00,3,570
21:06:00,3,538
21:06:00,3,533
21:07:00,3,533
21:07:00,3,486
21:08:00,3,486
21:08:00,3,386
21:08:00,3,375
21:08:00,3,316
21:08:00,3,286
21:09:00,3,284
21:09:00,3,255
21:09:00,3,182
21:09:00,3,169
21:10:00,3,169
