hour,minute,departureDay,distance,arrivaltime
19,56,3,1121,20:11:00
19,57,3,1121,20:11:00
19,58,3,1121,20:11:00
19,59,3,1121,20:11:00
20,0,3,1121,20:11:00
20,1,3,1121,20:11:00
20,1,3,1091,20:11:00
20,1,3,1090,20:11:00
20,1,3,1105,20:11:00
20,1,3,1110,20:11:00
20,1,3,1126,20:11:00
20,1,3,1114,20:11:00
20,1,3,1103,20:11:00
20,2,3,1100,20:11:00
20,2,3,1090,20:11:00
20,2,3,1080,20:11:00
20,2,3,1078,20:11:00
20,2,3,1076,20:11:00
20,3,3,1076,20:11:00
20,3,3,1062,20:11:00
20,3,3,1042,20:11:00
20,3,3,1001,20:11:00
20,4,3,1001,20:11:00
20,4,3,999,20:11:00
20,4,3,895,20:11:00
20,4,3,792,20:11:00
20,5,3,792,20:11:00
20,5,3,785,20:11:00
20,6,3,785,20:11:00
20,6,3,785,20:11:00
20,7,3,785,20:11:00
20,7,3,503,20:11:00
20,7,3,503,20:11:00
20,7,3,572,20:11:00
20,7,3,534,20:11:00
20,7,3,399,20:11:00
20,7,3,376,20:11:00
20,8,3,376,20:11:00
20,8,3,315,20:11:00
20,8,3,297,20:11:00
20,8,3,256,20:11:00
20,9,3,194,20:11:00
20,9,3,169,20:11:00
20,9,3,126,20:11:00
20,10,3,126,20:11:00
20,10,3,107,20:11:00
20,10,3,91,20:11:00
20,10,3,48,20:11:00
20,10,3,11,20:11:00
20,11,3,11,20:11:00
20,11,3,115,20:11:00
20,11,3,221,20:11:00
20,56,3,1106,20:11:00
20,56,3,1106,21:11:00
20,57,3,1106,21:11:00
20,58,3,1106,21:11:00
20,59,3,1106,21:11:00
21,0,3,1106,21:11:00
21,1,3,1106,21:11:00
21,1,3,1089,21:11:00
21,1,3,1093,21:11:00
21,1,3,1119,21:11:00
21,1,3,1123,21:11:00
21,2,3,1123,21:11:00
21,2,3,1105,21:11:00
21,2,3,1097,21:11:00
21,2,3,1091,21:11:00
21,3,3,1091,21:11:00
21,3,3,1076,21:11:00
21,3,3,1075,21:11:00
21,3,3,1069,21:11:00
21,3,3,1061,21:11:00
21,3,3,1043,21:11:00
21,3,3,1039,21:11:00
21,3,3,1000,21:11:00
21,4,3,1000,21:11:00
21,4,3,998,21:11:00
21,4,3,897,21:11:00
21,4,3,845,21:11:00
21,4,3,796,21:11:00
21,5,3,796,21:11:00
21,5,3,793,21:11:00
21,5,3,690,21:11:00
21,6,3,690,21:11:00
21,6,3,589,21:11:00
21,6,3,579,21:11:00
21,6,3,570,21:11:00
21,6,3,538,21:11:00
21,6,3,533,21:11:00
21,7,3,533,21:11:00
21,7,3,486,21:11:00
21,8,3,486,21:11:00
21,8,3,386,21:11:00
21,8,3,375,21:11:00
21,8,3,316,21:11:00
21,8,3,286,21:11:00
21,9,3,284,21:11:00
21,9,3,255,21:11:00
21,9,3,182,21:11:00
21,9,3,169,21:11:00
21,10,3,169,21:11:00
21,10,3,132,21:11:00
21,10,3,107,21:11:00
21,10,3,80,21:11:00
21,10,3,48,21:11:00
21,11,3,48,21:11:00
21,11,3,6,21:11:00
21,11,3,24,21:11:00
21,12,3,24,21:11:00
21,12,3,127,21:11:00
21,12,3,134,21:11:00
21,12,3,228,21:11:00
7,52,4,1050,21:11:00
